No,Caso de Prueba,Precondiciones,Datos de la prueba,Pasos,Resultado esperado,Resultado obtenido,Estatus,Enlace al defecto
33,"deliveryTime: 24 (Límite día exterior)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 24,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
34,"deliveryTime: Negativo","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": -5,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
35,"deliveryTime: Decimal","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 9.5,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
36,"deliveryTime: Número romano","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": ""IX"",
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
37,"deliveryTime: Palabra en inglés","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": ""nine"",
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
38,"deliveryTime: Faltante","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
39,"Límite: productsWeight límite inferior válido (L=1)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
40,"Límite: productsWeight cero (L-1=0)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 2,
  ""productsWeight"": 0
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
41,"Límite: productsWeight límite máximo válido (L=2.5)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 2,
  ""productsWeight"": 2.5
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
42,"Límite: productsWeight límite máximo + 0.1 (L+1=2.6)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 2,
  ""productsWeight"": 2.6
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
43,"productsWeight: Negativo","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 2,
  ""productsWeight"": -2.5
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
44,"productsWeight: Número romano","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 2,
  ""productsWeight"": ""II""
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
45,"productsWeight: Palabra en inglés","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 2,
  ""productsWeight"": ""two""
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
46,"productsWeight: Faltante","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 2
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
47,"Límite: productsCount inferior válido (L=1)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 1,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
48,"Límite: productsCount inferior - 1 (L-1=0)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 0,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
49,"Límite: productsCount excesivo","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 999,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
50,"productsCount: Decimal","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": 1.5,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
51,"productsCount: Negativo","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": -1,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
52,"productsCount: Número romano","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": ""X"",
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
53,"productsCount: Palabra en inglés","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsCount"": ""ten"",
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
54,"productsCount: Faltante","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 10,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
55,"Faltan todos los parámetros (Body vacío {})","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
56,"Body como null","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
null","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
57,"Body como String en vez de JSON","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
""deliveryTime:9, productsCount:2""","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
58,"Enviar un campo adicional no esperado","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 9,
  ""productsCount"": 2,
  ""productsWeight"": 1,
  ""campoInvento"": true
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK",,,
59,"Campos booleanos en lugar de números","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": true,
  ""productsCount"": false,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
60,"Campos arrays en lugar de números","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": [9],
  ""productsCount"": [2],
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
